Latitude,Longitude,AvgPrice
38.04325,-84.4847583,150000
38.2874305,-84.8559111,3207
38.410975,-82.5375055,7411
38.4123305,-82.5313027,6798
38.4166888,-82.5114944,5177
38.4172555,-82.5105194,8902
38.4220805,-82.4862472,25000
38.4233666,-82.5066694,13822
38.4280472,-82.4560638,3932
38.4326083,-82.4644972,25000
38.4338805,-82.4779194,3000
38.4381166,-82.3808138,4447
38.4431694,-82.3764222,36380
38.4431861,-82.3761722,8990
38.4432555,-82.5019694,11420
38.4433333,-82.37765,3500
38.4451166,-82.3812777,6877
38.4475972,-82.4702638,5375
38.4526055,-82.5945694,5990
38.4586055,-82.3466638,4000
38.4604805,-82.5946666,10864
38.4691194,-82.6023888,3946
38.4691666,-82.6022777,2000
38.48045,-82.6225138,17752
38.4865138,-82.3882666,48381
38.4870305,-82.5592444,2942
38.5012611,-82.308375,6693
38.5019472,-82.3935805,23000
38.5071388,-82.3923972,2047
38.5071888,-82.3924611,11590
38.5182833,-82.6642,15900
38.5195388,-82.3317305,25000
38.5224694,-82.3074111,15799
38.5243638,-82.6770611,14514
38.5245888,-82.3918055,17752
38.5347972,-82.6761638,11393
38.5386,-82.5500916,2190
38.5405555,-82.6802027,4608
38.5485694,-82.6163166,25000
38.5486777,-82.6161638,11172
38.5541388,-82.6077472,10013
38.55495,-82.6068833,10813
38.5555888,-82.451025,21793
38.5573611,-82.6668833,9707
38.5608888,-82.2948805,7313
38.5620166,-82.6370666,21077
38.5705694,-82.6625,2959
38.5710111,-82.3799194,1690
38.57675,-82.6371333,5202
38.5833333,-82.69,4000
38.5924,-82.8078777,2047
38.5994611,-82.7844388,11119
38.6005583,-82.2186166,11693
38.6071388,-82.6484,28000
38.6079805,-83.2808305,1873
38.6139611,-82.2130888,2000
38.6200805,-82.8339972,3497
38.6219888,-82.8480305,1000
38.6257111,-83.1984305,9399
38.6276361,-82.6621138,14500
38.6307916,-82.6679277,6995
38.6315111,-83.15305,18310
38.6367305,-83.6598416,7000
38.6385805,-83.6698083,2995
38.6426861,-83.6939333,6528
38.6448166,-83.1392,8602
38.644825,-82.8496583,5337
38.655375,-82.8528944,2047
38.6602138,-83.7614388,8000
38.66115,-82.6583694,10000
38.6614277,-83.7614583,41077
38.6622305,-82.85465,3284
38.6653194,-82.7832055,4680
38.6654527,-83.7616916,45116
38.6720388,-82.787275,17421
38.67215,-83.7503333,7000
38.6759944,-83.6341944,11960
38.6836111,-83.7758333,23000
38.6922555,-82.8612055,11862
38.6977805,-83.61945,5556
38.6992111,-82.8303166,6309
38.6994611,-83.6673138,5207
38.7024305,-82.8743111,22000
38.7024861,-83.1151027,3910
38.7055611,-82.8016305,2247
38.7102055,-83.5997861,5097
38.7128305,-83.5805805,15000
38.7203416,-83.6336805,22000
38.7247305,-83.4531388,3000
38.7271611,-82.8301527,1800
38.7303916,-82.6323,5995
38.7311305,-83.4645333,4970
38.7314972,-82.99735,2916
38.7318694,-83.0595694,2047
38.7358333,-82.9738888,2247
38.7367194,-83.0209027,41743
38.73705,-83.5629388,21000
38.7378861,-83.4855861,3345
38.7387027,-82.9752527,16299
38.7394027,-83.029725,8245
38.7395111,-82.9753527,11149
38.7395138,-83.4720527,2000
38.7402833,-83.0225472,6693
38.7403888,-83.6106611,17703
38.7405833,-83.6209444,3950
38.7413222,-82.9690083,1703
38.7457972,-82.847025,5000
38.7475138,-82.8708472,7815
38.7478666,-83.2149194,4710
38.7500472,-83.833725,4200
38.7508388,-83.0264305,2000
38.751875,-82.85245,4951
38.7519111,-83.0263111,2200
38.7523388,-82.6330833,9500
38.7523888,-82.7829805,15000
38.7533333,-83.608375,2500
38.7533972,-82.9916388,75000
38.7543666,-82.9292472,17752
38.7546638,-82.9253833,3681
38.7555472,-83.02355,8776
38.7560166,-82.8007833,5278
38.7564027,-82.8664027,15500
38.7568,-83.0319194,4000
38.757,-83.2863666,5215
38.7571,-82.99105,10073
38.7592916,-83.028125,23400
38.7615527,-82.8930888,3000
38.7618194,-82.8223611,18000
38.7625916,-83.8177888,5000
38.7630583,-83.2833388,22000
38.7666583,-83.8837,22000
38.7691833,-83.9053833,7173
38.7711333,-82.8431972,22597
38.7719833,-82.8167444,1200
