Latitude,Longitude,AvgPrice
38.0432,-84.4847,150000
38.2874,-84.8559,3207
38.4109,-82.5375,7411
38.4123,-82.5313,6798
38.4166,-82.5114,5177
38.4172,-82.5105,8902
38.4220,-82.4862,25000
38.4233,-82.5066,13822
38.4280,-82.4560,3932
38.4326,-82.4644,25000
38.4338,-82.4779,3000
38.4381,-82.3808,4447
38.4431,-82.3764,36380
38.4431,-82.3761,8990
38.4432,-82.5019,11420
38.4433,-82.3776,3500
38.4451,-82.3812,6877
38.4475,-82.4702,5375
38.4526,-82.5945,5990
38.4586,-82.3466,4000
38.4604,-82.5946,10864
38.4691,-82.6023,3946
38.4691,-82.6022,2000
38.4804,-82.6225,17752
38.4865,-82.3882,48381
38.4870,-82.5592,2942
38.5012,-82.3083,6693
38.5019,-82.3935,23000
38.5071,-82.3923,2047
38.5071,-82.3924,11590
38.5182,-82.6642,15900
38.5195,-82.3317,25000
38.5224,-82.3074,15799
38.5243,-82.6770,14514
38.5245,-82.3918,17752
38.5347,-82.6761,11393
38.5386,-82.5500,2190
38.5405,-82.6802,4608
38.5485,-82.6163,25000
38.5486,-82.6161,11172
38.5541,-82.6077,10013
38.5549,-82.6068,10813
38.5555,-82.4510,21793
38.5573,-82.6668,9707
38.5608,-82.2948,7313
38.5620,-82.6370,21077
38.5705,-82.6625,2959
38.5710,-82.3799,1690
38.5767,-82.6371,5202
38.5833,-82.69,4000
38.5924,-82.8078,2047
38.5994,-82.7844,11119
38.6005,-82.2186,11693
38.6071,-82.6484,28000
38.6079,-83.2808,1873
38.6139,-82.2130,2000
38.6200,-82.8339,3497
38.6219,-82.8480,1000
38.6257,-83.1984,9399
38.6276,-82.6621,14500
38.6307,-82.6679,6995
38.6315,-83.1530,18310
38.6367,-83.6598,7000
38.6385,-83.6698,2995
38.6426,-83.6939,6528
38.6448,-83.1392,8602
38.6448,-82.8496,5337
38.6553,-82.8528,2047
38.6602,-83.7614,8000
38.6611,-82.6583,10000
38.6614,-83.7614,41077
38.6622,-82.8546,3284
38.6653,-82.7832,4680
38.6654,-83.7616,45116
38.6720,-82.7872,17421
38.6721,-83.7503,7000
38.6759,-83.6341,11960
38.6836,-83.7758,23000
38.6922,-82.8612,11862
38.6977,-83.6194,5556
38.6992,-82.8303,6309
38.6994,-83.6673,5207
38.7024,-82.8743,22000
38.7024,-83.1151,3910
38.7055,-82.8016,2247
38.7102,-83.5997,5097
38.7128,-83.5805,15000
38.7203,-83.6336,22000
38.7247,-83.4531,3000
38.7271,-82.8301,1800
38.7303,-82.6323,5995
38.7311,-83.4645,4970
38.7314,-82.9973,2916
38.7318,-83.0595,2047
38.7358,-82.9738,2247
38.7367,-83.0209,41743
38.7370,-83.5629,21000
38.7378,-83.4855,3345
38.7387,-82.9752,16299
38.7394,-83.0297,8245
38.7395,-82.9753,11149
38.7395,-83.4720,2000
38.7402,-83.0225,6693
38.7403,-83.6106,17703
38.7405,-83.6209,3950
38.7413,-82.9690,1703
38.7457,-82.8470,5000
38.7475,-82.8708,7815
38.7478,-83.2149,4710
38.7500,-83.8337,4200
38.7508,-83.0264,2000
38.7518,-82.8524,4951
38.7519,-83.0263,2200
38.7523,-82.6330,9500
38.7523,-82.7829,15000
38.7533,-83.6083,2500
38.7533,-82.9916,75000
38.7543,-82.9292,17752
38.7546,-82.9253,3681
38.7555,-83.0235,8776
38.7560,-82.8007,5278
38.7564,-82.8664,15500
38.7568,-83.0319,4000
38.757,-83.2863,5215
38.7571,-82.9910,10073
38.7592,-83.0281,23400
38.7615,-82.8930,3000
38.7618,-82.8223,18000
38.7625,-83.8177,5000
38.7630,-83.2833,22000
38.7666,-83.8837,22000
38.7691,-83.9053,7173
38.7711,-82.8431,22597
38.7719,-82.8167,1200
38.7720,-82.3626,7365
38.7738,-82.9415,2641
38.7749,-82.9424,15450
38.7754,-82.7841,24895
38.7788,-84.0282,15000
38.7808,-82.8405,4459
38.7827,-84.1072,6000
38.7833,-83.4593,8000
38.7849,-83.0124,7125
38.7872,-82.4588,9693
38.7897,-83.9483,7292
38.7905,-83.0144,8997
38.7945,-83.0147,7000
38.7946,-83.9574,3000
38.7974,-82.6814,3000
38.7976,-83.0102,18310
38.7980,-83.0098,10976
38.8013,-83.4727,11393
38.8019,-83.5467,3661
38.8034,-83.5684,3937
38.8072,-83.7969,40000
38.8089,-83.1025,4377
38.8103,-83.7902,5752
38.8115,-83.7653,13000
38.8119,-82.6742,9854
38.8138,-83.0676,10158
38.8140,-83.9926,5471
38.8158,-82.1929,2698
38.8161,-82.2276,23000
38.8169,-83.5596,1800
38.8263,-84.2183,3964
38.8291,-82.8511,3740
38.8319,-83.0200,6945
38.8324,-83.1535,15155
38.8330,-83.8367,16599
38.8360,-83.8402,11297
38.8385,-83.6167,3500
38.8397,-82.5940,5990
38.8411,-82.9845,3500
38.8414,-83.0210,7084
38.8416,-82.5196,2851
38.8420,-82.9599,4200
38.8420,-83.6178,6795
38.8422,-82.5272,12000
38.8427,-82.285,7023
38.8427,-82.2018,2997
38.8436,-82.1519,1880
38.8470,-83.1026,5339
38.8491,-82.2132,2554
38.8495,-83.2438,2000
38.8497,-84.1122,1100
38.8513,-83.0724,2000
38.8524,-84.1417,7806
38.8524,-83.0155,22000
38.8527,-82.8841,6000
38.8563,-84.1519,20000
38.8584,-82.8579,11500
38.8592,-82.6084,800
38.8601,-83.8731,21263
38.8601,-82.6072,3522
38.8607,-83.8814,1987
38.8617,-83.9049,5155
38.8620,-82.3468,9723
38.8621,-83.2118,3486
38.8666,-82.9391,3573
38.8681,-83.7506,8377
38.8683,-83.0732,25000
38.8690,-83.7869,12752
38.8718,-82.9544,7755
38.8721,-83.6162,20000
38.8725,-83.9180,1761
38.8737,-83.9250,9351
38.8743,-83.8858,6273
38.8756,-83.4825,1183
38.8776,-83.0384,5442
38.8785,-82.3070,49600
38.8787,-84.2266,6125
38.8796,-82.9760,32877
38.8805,-81.9026,74900
38.8809,-84.0697,16649
38.8811,-84.0926,3979
38.8823,-83.0204,24017
38.8836,-82.9247,3732
38.8850,-82.3742,2796
38.8854,-84.1184,20000
38.8855,-82.9939,5419
38.8864,-82.3056,7026
38.8872,-81.9164,8798
38.8879,-82.4721,3499
38.8882,-84.0588,4456
38.8897,-82.6609,6120
38.8923,-82.5447,4837
38.8953,-82.5544,25000
38.8968,-82.8686,2966
38.8987,-82.5523,19197
38.8988,-82.5429,12000
38.9003,-82.5425,22345
38.9025,-83.7552,8193
38.9042,-82.3090,1850
38.9071,-83.6279,41500
38.9072,-84.2002,18310
38.9087,-82.5412,3604
38.9113,-83.8024,4500
38.9123,-82.4382,2401
38.9130,-82.1340,3604
38.9131,-82.2787,30000
38.9138,-84.2483,4365
38.9140,-84.0078,5330
38.9160,-83.4323,5673
38.9170,-82.2182,9950
38.9176,-83.2293,2655
38.9198,-82.2581,12795
38.9224,-84.2535,6774
38.9237,-83.2410,24194
38.9239,-82.8872,28000
38.9247,-83.4011,500
38.9257,-83.5129,30000
38.9267,-84.1432,23000
38.9276,-83.4214,5659
38.9276,-82.2709,23000
38.9303,-83.2299,5176
38.9312,-83.2285,3566
38.9323,-82.8981,3000
38.9351,-83.6539,11474
38.9354,-83.8407,22000
38.9355,-82.8820,8824
38.9362,-82.9523,1000
38.9379,-82.8904,12951
38.9400,-83.9034,11762
38.9402,-84.2777,4793
38.9406,-84.2701,32209
38.9432,-82.3785,10000
38.9432,-82.1117,5500
38.9433,-83.9060,7165
38.9438,-82.5637,6200
38.9441,-83.9065,10000
38.9452,-84.0966,15434
38.9454,-82.1286,4000
38.9458,-83.9069,4754
38.9458,-82.5251,6632
38.9470,-83.4077,32519
38.9493,-83.0458,2997
38.9496,-83.6284,4469
38.9498,-83.6855,3500
38.9499,-83.6855,22838
