Latitude,Longitude,AvgPrice
38.04,-84.48,150000
38.28,-84.85,3207
38.41,-82.53,7104
38.41,-82.51,7039
38.42,-82.48,25000
38.42,-82.50,13822
38.42,-82.45,3932
38.43,-82.46,25000
38.43,-82.47,3000
38.43,-82.38,4447
38.44,-82.37,13092
38.44,-82.50,11420
38.44,-82.38,6877
38.44,-82.47,5375
38.45,-82.59,5990
38.45,-82.34,4000
38.46,-82.59,10864
38.46,-82.60,2973
38.48,-82.62,17752
38.48,-82.38,48381
38.48,-82.55,2942
38.50,-82.30,6693
38.50,-82.39,14909
38.51,-82.66,15900
38.51,-82.33,25000
38.52,-82.30,15799
38.52,-82.67,14514
38.52,-82.39,17752
38.53,-82.67,11393
38.53,-82.55,2190
38.54,-82.68,4608
38.54,-82.61,18086
38.55,-82.60,10413
38.55,-82.45,21793
38.55,-82.66,9707
38.56,-82.29,7313
38.56,-82.63,21077
38.57,-82.66,2959
38.57,-82.37,1690
38.57,-82.63,5202
38.58,-82.69,4000
38.59,-82.80,2047
38.59,-82.78,11119
38.60,-82.21,11693
38.60,-82.64,28000
38.60,-83.28,1873
38.61,-82.21,2000
38.62,-82.83,3497
38.62,-82.84,1000
38.62,-83.19,9399
38.62,-82.66,14500
38.63,-82.66,6995
38.63,-83.15,18310
38.63,-83.65,7000
38.63,-83.66,2995
38.64,-83.69,6528
38.64,-83.13,8602
38.64,-82.84,5337
38.65,-82.85,2047
38.66,-83.76,34827
38.66,-82.65,10000
38.66,-82.85,3284
38.66,-82.78,4680
38.67,-82.78,17421
38.67,-83.75,7000
38.67,-83.63,11960
38.68,-83.77,23000
38.69,-82.86,11862
38.69,-83.61,5556
38.69,-82.83,6309
38.69,-83.66,5207
38.70,-82.87,22000
38.70,-83.11,3910
38.70,-82.80,2247
38.71,-83.59,5097
38.71,-83.58,15000
38.72,-83.63,22000
38.72,-83.45,3000
38.72,-82.83,1800
38.73,-82.63,5995
38.73,-83.46,4970
38.73,-82.99,2916
38.73,-83.05,2047
38.73,-82.97,10211
38.73,-83.02,24994
38.73,-83.56,21000
38.73,-83.48,3345
38.73,-83.47,2000
38.74,-83.02,6693
38.74,-83.61,17703
38.74,-83.62,3950
38.74,-82.96,1703
38.74,-82.84,5000
38.74,-82.87,7815
38.74,-83.21,4710
38.75,-83.83,4200
38.75,-83.02,14419
38.75,-82.85,4951
38.75,-82.63,9500
38.75,-82.78,15000
38.75,-83.60,2500
38.75,-82.99,42536
38.75,-82.92,10716
38.75,-82.80,5278
38.75,-82.86,15500
38.75,-83.03,4000
38.75,-83.28,5215
38.76,-82.89,3000
38.76,-82.82,18000
38.76,-83.81,5000
38.76,-83.28,22000
38.76,-83.88,22000
38.76,-83.90,7173
38.77,-82.84,22597
38.77,-82.81,1200
38.77,-82.36,7365
38.77,-82.94,9045
38.77,-82.78,24895
38.77,-84.02,15000
38.78,-82.84,4459
38.78,-84.10,6000
38.78,-83.45,8000
38.78,-83.01,7125
38.78,-82.45,9693
38.78,-83.94,7292
38.79,-83.01,13154
38.79,-83.95,3000
