Latitude,Longitude,AvgPrice
38.04325,-84.48475,150000
38.28743,-84.85591,3207
38.41097,-82.53750,7411
38.41233,-82.53130,6798
38.41668,-82.51149,5177
38.41725,-82.51051,8902
38.42208,-82.48624,25000
38.42336,-82.50666,13822
38.42804,-82.45606,3932
38.43260,-82.46449,25000
38.43388,-82.47791,3000
38.43811,-82.38081,4447
38.44316,-82.37642,36380
38.44318,-82.37617,8990
38.44325,-82.50196,11420
38.44333,-82.37765,3500
38.44511,-82.38127,6877
38.44759,-82.47026,5375
38.45260,-82.59456,5990
38.45860,-82.34666,4000
38.46048,-82.59466,10864
38.46911,-82.60238,3946
38.46916,-82.60227,2000
38.48045,-82.62251,17752
38.48651,-82.38826,48381
38.48703,-82.55924,2942
38.50126,-82.30837,6693
38.50194,-82.39358,23000
38.50713,-82.39239,2047
38.50718,-82.39246,11590
38.51828,-82.6642,15900
38.51953,-82.33173,25000
38.52246,-82.30741,15799
38.52436,-82.67706,14514
38.52458,-82.39180,17752
38.53479,-82.67616,11393
38.5386,-82.55009,2190
38.54055,-82.68020,4608
38.54856,-82.61631,25000
38.54867,-82.61616,11172
38.55413,-82.60774,10013
38.55495,-82.60688,10813
38.55558,-82.45102,21793
38.55736,-82.66688,9707
38.56088,-82.29488,7313
38.56201,-82.63706,21077
38.57056,-82.6625,2959
38.57101,-82.37991,1690
38.57675,-82.63713,5202
38.58333,-82.69,4000
38.5924,-82.80787,2047
38.59946,-82.78443,11119
38.60055,-82.21861,11693
38.60713,-82.6484,28000
38.60798,-83.28083,1873
38.61396,-82.21308,2000
38.62008,-82.83399,3497
38.62198,-82.84803,1000
38.62571,-83.19843,9399
38.62763,-82.66211,14500
38.63079,-82.66792,6995
38.63151,-83.15305,18310
38.63673,-83.65984,7000
38.63858,-83.66980,2995
38.64268,-83.69393,6528
38.64481,-83.1392,8602
38.64482,-82.84965,5337
38.65537,-82.85289,2047
38.66021,-83.76143,8000
38.66115,-82.65836,10000
38.66142,-83.76145,41077
38.66223,-82.85465,3284
38.66531,-82.78320,4680
38.66545,-83.76169,45116
38.67203,-82.78727,17421
38.67215,-83.75033,7000
38.67599,-83.63419,11960
38.68361,-83.77583,23000
38.69225,-82.86120,11862
38.69778,-83.61945,5556
38.69921,-82.83031,6309
38.69946,-83.66731,5207
38.70243,-82.87431,22000
38.70248,-83.11510,3910
38.70556,-82.80163,2247
38.71020,-83.59978,5097
38.71283,-83.58058,15000
38.72034,-83.63368,22000
38.72473,-83.45313,3000
38.72716,-82.83015,1800
38.73039,-82.6323,5995
38.73113,-83.46453,4970
38.73149,-82.99735,2916
38.73186,-83.05956,2047
38.73583,-82.97388,2247
38.73671,-83.02090,41743
38.73705,-83.56293,21000
38.73788,-83.48558,3345
38.73870,-82.97525,16299
38.73940,-83.02972,8245
38.73951,-82.97535,11149
38.73951,-83.47205,2000
38.74028,-83.02254,6693
38.74038,-83.61066,17703
38.74058,-83.62094,3950
38.74132,-82.96900,1703
38.74579,-82.84702,5000
38.74751,-82.87084,7815
38.74786,-83.21491,4710
38.75004,-83.83372,4200
38.75083,-83.02643,2000
38.75187,-82.85245,4951
38.75191,-83.02631,2200
38.75233,-82.63308,9500
38.75238,-82.78298,15000
38.75333,-83.60837,2500
38.75339,-82.99163,75000
38.75436,-82.92924,17752
38.75466,-82.92538,3681
38.75554,-83.02355,8776
38.75601,-82.80078,5278
38.75640,-82.86640,15500
38.7568,-83.03191,4000
38.757,-83.28636,5215
38.7571,-82.99105,10073
38.75929,-83.02812,23400
38.76155,-82.89308,3000
38.76181,-82.82236,18000
38.76259,-83.81778,5000
38.76305,-83.28333,22000
38.76665,-83.8837,22000
38.76918,-83.90538,7173
38.77113,-82.84319,22597
38.77198,-82.81674,1200
38.77207,-82.36265,7365
38.77385,-82.9415,2641
38.77499,-82.94248,15450
38.77549,-82.78412,24895
38.77887,-84.02822,15000
38.78083,-82.84055,4459
38.78278,-84.1072,6000
38.78335,-83.4593,8000
38.78496,-83.01243,7125
38.78724,-82.45888,9693
38.78975,-83.94838,7292
38.79050,-83.01445,8997
38.79450,-83.01470,7000
38.79463,-83.95744,3000
38.79743,-82.68141,3000
38.7976,-83.01024,18310
38.79806,-83.0098,10976
38.80131,-83.47271,11393
38.80196,-83.54675,3661
38.80349,-83.56845,3937
38.80726,-83.79695,40000
38.80890,-83.10251,4377
38.81036,-83.79025,5752
38.81159,-83.7653,13000
38.81191,-82.67426,9854
38.81386,-83.06763,10158
38.81409,-83.99261,5471
38.81589,-82.19298,2698
38.81614,-82.22764,23000
38.81694,-83.55963,1800
38.82636,-84.21833,3964
38.82918,-82.85112,3740
38.83194,-83.02000,6945
38.83241,-83.15351,15155
38.83307,-83.83671,16599
38.83602,-83.84028,11297
38.83855,-83.61671,3500
38.83979,-82.59402,5990
38.84118,-82.98455,3500
38.84145,-83.02108,7084
38.84169,-82.51968,2851
38.84201,-82.95990,4200
38.84204,-83.61784,6795
38.84222,-82.52721,12000
38.84272,-82.285,7023
38.84273,-82.20181,2997
38.84366,-82.15197,1880
