Latitude,Longitude,AvgPrice
38.0,-84.4,150000
38.2,-84.8,3207
38.4,-82.5,6302
38.4,-82.4,8370
38.4,-82.3,27146
38.4,-82.6,10362
38.5,-82.3,9495
38.5,-82.6,5664
38.5,-82.5,2190
38.5,-82.4,21793
38.5,-82.2,7313
38.5,-82.8,2047
38.5,-82.7,11119
38.6,-82.2,6846
38.6,-82.6,12061
38.6,-83.2,1873
38.6,-82.8,6895
38.6,-83.1,11228
38.6,-83.6,6207
38.6,-83.7,21956
38.6,-82.7,11050
38.7,-82.8,6902
38.7,-83.1,3910
38.7,-83.5,15524
38.7,-83.6,7200
38.7,-83.4,5416
38.7,-82.6,5373
38.7,-82.9,13035
38.7,-83.0,10683
38.7,-83.2,13481
38.7,-83.8,13300
38.7,-82.7,19947
38.7,-83.9,5116
38.7,-82.3,7365
38.7,-84.0,15000
38.7,-84.1,6000
38.7,-82.4,9693
38.8,-83.4,6288
38.8,-83.5,2799
38.8,-83.7,12954
38.8,-83.1,7552
38.8,-82.6,5272
38.8,-83.0,18175
38.8,-83.9,6444
38.8,-82.1,2289
38.8,-82.2,5779
38.8,-84.2,5044
38.8,-82.8,5575
38.8,-83.8,8034
38.8,-83.6,12573
38.8,-82.5,15206
38.8,-82.9,8468
38.8,-83.2,2743
38.8,-84.1,16113
38.8,-82.3,11627
38.8,-81.9,41849
38.8,-84.0,7385
38.8,-82.4,3499
38.9,-82.5,5216
38.9,-83.7,6615
38.9,-82.3,5925
38.9,-83.6,17358
38.9,-84.2,7960
38.9,-83.8,12875
38.9,-82.4,3540
38.9,-82.1,7138
38.9,-82.2,19692
38.9,-84.0,8419
38.9,-83.4,14088
38.9,-83.2,8897
38.9,-82.8,13405
38.9,-83.5,15907
38.9,-84.1,7466
38.9,-82.9,1000
38.9,-83.9,6114
38.9,-83.0,7299
38.9,-81.7,6892
38.9,-83.1,1995
38.9,-83.3,14291
38.9,-82.6,2497
38.9,-82.0,4344
38.9,-81.9,4866
38.9,-81.8,41779
39.0,-83.1,5959
39.0,-82.5,7539
39.0,-84.1,28845
39.0,-83.3,27125
39.0,-83.7,9082
39.0,-84.0,7719
39.0,-82.6,2452
39.0,-82.0,12361
39.0,-83.5,10405
39.0,-84.2,30760
39.0,-82.8,9203
39.0,-83.8,6875
39.0,-83.9,30487
39.0,-81.9,6571
39.0,-82.9,43182
39.0,-83.0,15888
39.0,-82.1,14550
39.0,-84.3,5292
39.0,-82.2,5241
39.0,-84.4,17399
39.0,-82.7,4954
39.0,-83.4,2655
39.0,-83.6,32000
39.0,-84.6,2000
39.0,-84.5,6050
39.0,-82.4,11292
39.0,-83.2,1996
39.1,-84.5,20255
39.1,-81.8,11170
39.1,-82.7,33135
39.1,-82.6,5438
39.1,-83.2,7000
39.1,-84.4,10614
39.1,-84.2,30721
39.1,-84.6,9420
39.1,-82.0,47627
39.1,-83.0,4666
39.1,-84.3,5905
39.1,-81.9,7563
39.1,-83.7,6074
39.1,-82.9,8360
39.1,-84.1,7525
39.1,-82.5,11476
39.1,-83.1,5477
39.1,-83.5,5455
39.1,-82.4,3878
39.1,-84.7,5218
39.1,-83.3,2523
39.1,-82.8,6517
39.1,-84.0,10472
39.1,-82.3,7536
39.1,-83.8,7629
39.1,-84.8,14178
39.1,-83.6,11504
39.1,-83.9,12249
39.1,-83.4,2000
39.1,-82.2,6393
39.1,-82.1,11474
39.2,-84.4,46524
39.2,-83.6,11191
39.2,-84.7,7198
39.2,-84.5,6593
39.2,-83.4,10822
39.2,-84.2,9700
39.2,-84.1,7518
39.2,-83.7,6335
39.2,-84.0,8201
