latitude,longitude,MaxPrice,AvgPrice,AVG / MAX,Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.43388056,-82.47791944,3000,3000,100%,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.43811667,-82.38081389,4995,4895,98%,,4795,4995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.43811667,-82.38081389,4995,4895,98%,,4795,4995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.43811667,-82.38081389,4000,4000,100%,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.44316944,-82.37642222,11988,9761,81%,,,,,,,,,,,,,,,,,,,,,,,8950,8981,11988,9134,8499,8662,11872,9998,,,
38.44316944,-82.37642222,11988,9761,81%,,,,,,,,,,,,,,,,,,,,,,,8950,8981,11988,9134,8499,8662,11872,9998,,,
38.44316944,-82.37642222,63000,63000,100%,,63000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.44318611,-82.37617222,8990,8990,100%,,8990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.44325556,-82.50196944,6995,3910,56%,,1901,4391,6995,4200,3499,2000,4295,3995,,,,,,,,,,,,,,,,,,,,,,,,
38.44325556,-82.50196944,28997,18930,65%,,20488,20500,21500,21905,25500,25957,26880,27845,28888,28997,13989,16000,16246,19196,19722,20000,21500,22000,13245,13500,16250,18497,11495,12760,11988,12000,12750,14477,14900,,,
38.44333333,-82.37765,4000,4000,100%,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.44333333,-82.37765,3000,3000,100%,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.44511667,-82.38127778,7995,7723,97%,,,,,,,,,,,,,,,7995,,,,,,7450,,,,,,,,,,,,
38.44511667,-82.38127778,7995,7723,97%,,,,,,,,,,,,,,,7995,,,,,,7450,,,,,,,,,,,,
38.44511667,-82.38127778,6995,4342,62%,,4350,5995,1900,1900,3500,4000,2600,4995,6800,3995,2500,3490,6995,2587,5990,3888,5995,3380,4500,5995,4995,4995,4988,3875,,,,,,,,
38.44759722,-82.47026389,7999,5750,72%,,7999,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.44759722,-82.47026389,5000,5000,100%,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.45260556,-82.59456944,5990,5990,100%,,5990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.45860556,-82.34666389,4000,4000,100%,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.46048056,-82.59466667,12998,10864,84%,,10997,7900,11761,11998,11995,9491,9991,11968,7775,10265,8999,12599,11998,11977,12998,5999,11998,11998,11997,12997,11998,12599,10508,9586,9990,10513,10455,11998,9698,,,
38.46911944,-82.60238889,3995,3995,100%,,3995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.46911944,-82.60238889,3995,3995,100%,,3995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.46911944,-82.60238889,3995,3995,100%,,3995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.46911944,-82.60238889,4990,3604,72%,,,1590,3495,4950,4990,2995,,,,,,,,,,,,,,,,,,,,,,,,,,
38.46916667,-82.60227778,2000,2000,100%,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.46916667,-82.60227778,2000,2000,100%,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.46916667,-82.60227778,2000,2000,100%,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.46916667,-82.60227778,2000,2000,100%,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.48045,-82.62251389,28999,15067,52%,,18000,21999,14995,21995,18000,14996,22989,7990,28999,14888,12900,10995,5488,13901,9977,11844,14999,18555,8900,8995,14995,,,,,,,,,,,
38.48045,-82.62251389,26250,17752,68%,,14990,17994,6750,7989,16000,16987,16987,17200,18500,18900,19400,20500,23500,26250,14500,15489,15500,15599,15995,17900,18500,19000,20268,21230,21290,21990,25990,14697,14900,,,
38.48651389,-82.38826667,2995,2048,68%,,1101,2995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.48651389,-82.38826667,55000,55000,100%,,55000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.48651389,-82.38826667,55000,55000,100%,,55000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.48651389,-82.38826667,55000,55000,100%,,55000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.48703056,-82.55924444,4320,2942,68%,,2488,2997,3495,1888,2850,1895,1990,3995,,,,,4320,3497,,,,,,,,,,,,,,,,,,
38.48703056,-82.55924444,4320,2942,68%,,2488,2997,3495,1888,2850,1895,1990,3995,,,,,4320,3497,,,,,,,,,,,,,,,,,,
38.50126111,-82.308375,8789,6693,76%,,4990,4999,7995,8789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.50194722,-82.39358056,23000,23000,100%,,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.50713889,-82.39239722,2995,2047,68%,,2995,,1950,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.50713889,-82.39239722,2995,2047,68%,,2995,,1950,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.50718889,-82.39246111,27900,21201,76%,,18490,20490,15990,17391,18990,24990,16431,17576,18632,19375,19500,19500,19900,19999,20449,20690,20890,20900,21394,21590,21962,23590,23590,23851,23997,24285,25274,27200,27900,,,
38.50718889,-82.39246111,19292,12025,62%,,8990,9990,5995,9975,10000,11000,13980,15900,15981,16560,16795,17900,17995,18420,19292,8900,10950,11991,12695,5777,10000,16981,7491,8572,9888,12950,10777,6988,5998,,,
38.50718889,-82.39246111,19292,12025,62%,,8990,9990,5995,9975,10000,11000,13980,15900,15981,16560,16795,17900,17995,18420,19292,8900,10950,11991,12695,5777,10000,16981,7491,8572,9888,12950,10777,6988,5998,,,
38.50718889,-82.39246111,7288,6568,90%,,6995,7288,4995,6995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.51828333,-82.6642,15900,15900,100%,,15900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.51828333,-82.6642,15900,15900,100%,,15900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.51953889,-82.33173056,25000,25000,100%,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.51953889,-82.33173056,25000,25000,100%,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.51953889,-82.33173056,25000,25000,100%,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.52246944,-82.30741111,11588,6598,57%,,4995,7000,11588,6986,3000,4995,8900,5980,9400,5999,6490,5995,3999,8501,5900,6884,3900,4995,9850,,,,,,,,,,,,,
38.52246944,-82.30741111,25000,25000,100%,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.52436389,-82.67706111,5986,4028,67%,,4684,,4995,3688,5500,5986,1995,3900,1599,,,,4491,3977,3490,,,,,,,,,,,,,,,,,
38.52436389,-82.67706111,25000,25000,100%,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.52458889,-82.39180556,26250,17752,68%,,14990,17994,6750,7989,16000,16987,16987,17200,18500,18900,19400,20500,23500,26250,14500,15489,15500,15599,15995,17900,18500,19000,20268,21230,21290,21990,25990,14697,14900,,,
38.53479722,-82.67616389,14995,11393,76%,,14499,14995,10997,11649,11988,12488,8750,8899,10978,7994,11991,5499,7989,5988,4982,,12000,12000,12383,12597,12598,12995,12995,13000,13500,13500,13769,13981,13990,,,
38.53479722,-82.67616389,14995,11393,76%,,14499,14995,10997,11649,11988,12488,8750,8899,10978,7994,11991,5499,7989,5988,4982,,12000,12000,12383,12597,12598,12995,12995,13000,13500,13500,13769,13981,13990,,,
38.5386,-82.55009167,2200,1850,84%,,1499,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.5386,-82.55009167,2200,1850,84%,,1499,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.5386,-82.55009167,3999,3213,80%,,3495,3999,2495,,3485,2592,,,,,,,,,,,,,,,,,,,,,,,,,,
38.5386,-82.55009167,3999,3213,80%,,3495,3999,2495,,3485,2592,,,,,,,,,,,,,,,,,,,,,,,,,,
38.5386,-82.55009167,3999,3213,80%,,3495,3999,2495,,3485,2592,,,,,,,,,,,,,,,,,,,,,,,,,,
38.5386,-82.55009167,3999,3213,80%,,3495,3999,2495,,3485,2592,,,,,,,,,,,,,,,,,,,,,,,,,,
38.54055556,-82.68020278,6995,4608,66%,,3995,3899,,4321,6995,4370,6950,3988,3990,3850,4941,4998,2995,,,,,,,,,,,,,,,,,,,
38.54055556,-82.68020278,6995,4608,66%,,3995,3899,,4321,6995,4370,6950,3988,3990,3850,4941,4998,2995,,,,,,,,,,,,,,,,,,,
38.54856944,-82.61631667,25000,25000,100%,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.54867778,-82.61616389,25998,19345,74%,,12691,25998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
