Latitude,Longitude,AvgPrice
38.043,-84.484,150000
38.287,-84.855,3207
38.410,-82.537,7411
38.412,-82.531,6798
38.416,-82.511,5177
38.417,-82.510,8902
38.422,-82.486,25000
38.423,-82.506,13822
38.428,-82.456,3932
38.432,-82.464,25000
38.433,-82.477,3000
38.438,-82.380,4447
38.443,-82.376,22685
38.443,-82.501,11420
38.443,-82.377,3500
38.445,-82.381,6877
38.447,-82.470,5375
38.452,-82.594,5990
38.458,-82.346,4000
38.460,-82.594,10864
38.469,-82.602,2973
38.480,-82.622,17752
38.486,-82.388,48381
38.487,-82.559,2942
38.501,-82.308,6693
38.501,-82.393,23000
38.507,-82.392,6818
38.518,-82.664,15900
38.519,-82.331,25000
38.522,-82.307,15799
38.524,-82.677,14514
38.524,-82.391,17752
38.534,-82.676,11393
38.538,-82.550,2190
38.540,-82.680,4608
38.548,-82.616,18086
38.554,-82.607,10013
38.554,-82.606,10813
38.555,-82.451,21793
38.557,-82.666,9707
38.560,-82.294,7313
38.562,-82.637,21077
38.570,-82.662,2959
38.571,-82.379,1690
38.576,-82.637,5202
38.583,-82.69,4000
38.592,-82.807,2047
38.599,-82.784,11119
38.600,-82.218,11693
38.607,-82.648,28000
38.607,-83.280,1873
38.613,-82.213,2000
38.620,-82.833,3497
38.621,-82.848,1000
38.625,-83.198,9399
38.627,-82.662,14500
38.630,-82.667,6995
38.631,-83.153,18310
38.636,-83.659,7000
38.638,-83.669,2995
38.642,-83.693,6528
38.644,-83.139,8602
38.644,-82.849,5337
38.655,-82.852,2047
38.660,-83.761,8000
38.661,-82.658,10000
38.661,-83.761,41077
38.662,-82.854,3284
38.665,-82.783,4680
38.665,-83.761,45116
38.672,-82.787,17421
38.672,-83.750,7000
38.675,-83.634,11960
38.683,-83.775,23000
38.692,-82.861,11862
38.697,-83.619,5556
38.699,-82.830,6309
38.699,-83.667,5207
38.702,-82.874,22000
38.702,-83.115,3910
38.705,-82.801,2247
38.710,-83.599,5097
38.712,-83.580,15000
38.720,-83.633,22000
38.724,-83.453,3000
38.727,-82.830,1800
38.730,-82.632,5995
38.731,-83.464,4970
38.731,-82.997,2916
38.731,-83.059,2047
38.735,-82.973,2247
38.736,-83.020,41743
38.737,-83.562,21000
38.737,-83.485,3345
38.738,-82.975,16299
38.739,-83.029,8245
38.739,-82.975,11149
38.739,-83.472,2000
38.740,-83.022,6693
38.740,-83.610,17703
38.740,-83.620,3950
38.741,-82.969,1703
38.745,-82.847,5000
38.747,-82.870,7815
38.747,-83.214,4710
38.750,-83.833,4200
38.750,-83.026,2000
38.751,-82.852,4951
38.751,-83.026,2200
38.752,-82.633,9500
38.752,-82.782,15000
38.753,-83.608,2500
38.753,-82.991,75000
38.754,-82.929,17752
38.754,-82.925,3681
38.755,-83.023,8776
38.756,-82.800,5278
38.756,-82.866,15500
38.756,-83.031,4000
38.757,-83.286,5215
38.757,-82.991,10073
38.759,-83.028,23400
38.761,-82.893,3000
38.761,-82.822,18000
38.762,-83.817,5000
38.763,-83.283,22000
38.766,-83.883,22000
38.769,-83.905,7173
38.771,-82.843,22597
